City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Banda Aceh,ID,79.36,overcast clouds,-6.88,112.21,bador sepret
263,Mporokoso,ZM,79.48,broken clouds,-13.54,23.1,Royal Kutachika Lodge
264,Arraial Do Cabo,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
265,Marsh Harbour,BS,85.37,overcast clouds,26.54,-77.06,Abaco Beach Resort
272,Xuddur,SO,83.37,broken clouds,4.12,43.89,Banjanay Hotel
280,Jardim,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
282,Aloleng,PH,81.39,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
283,Maiduguri,NG,80.8,moderate rain,6.32,8.12,K Suites
286,Nemuro,JP,80.6,broken clouds,34.0,131.87,Hotel AZ Yamaguchi Kudamatsu
287,Lorengau,PG,82.11,overcast clouds,-2.57,150.8,Nusa Island Retreat
288,Jinchang,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
289,Salalah,OM,80.6,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
290,San Ramon,CO,80.6,haze,3.22,-76.31,La Granadina
291,Yanam,IN,86.41,broken clouds,26.92,71.92,Motel Pokaran - RTDC
296,Tomatlan,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
300,Buchanan,LR,82.4,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
302,Sao Miguel Do Araguaia,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
305,Wewak,PG,82.11,overcast clouds,-2.57,150.8,Nusa Island Retreat
309,Cabo San Lucas,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
312,Ponta Do Sol,PT,78.8,few clouds,38.52,-28.7,Quinta da Meia Eira
314,Matara,LK,78.94,broken clouds,5.95,80.54,Amaloh Boutique Resort
315,Ishigaki,JP,80.6,broken clouds,34.0,131.87,Hotel AZ Yamaguchi Kudamatsu
321,Maluko,PH,81.39,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
325,Vila Velha,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
326,Hambantota,LK,78.94,broken clouds,5.95,80.54,Amaloh Boutique Resort
328,Laguna,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
330,Huesca,ES,86.0,clear sky,42.14,-0.41,Hotel Sancho Abarca SPA Huesca
331,Port-Gentil,GA,75.51,overcast clouds,-1.57,9.26,Hotel Olako
333,Luis Correia,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
336,Muros,ES,86.0,clear sky,42.14,-0.41,Hotel Sancho Abarca SPA Huesca
