City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Tiksi,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
84,Semey,KZ,50.41,80.23,55.4,87,75,8.95,broken clouds
85,Atuona,NZ,-46.19,168.86,58.33,57,100,5.48,overcast clouds
86,Kaeo,NZ,-35.17,173.17,57.9,60,0,7.85,clear sky
87,Sentyabrskiy,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
88,Pozzallo,IT,39.17,8.52,70.0,93,5,2.24,clear sky
89,Lebu,CL,-53.15,-70.92,37.4,74,70,5.82,broken clouds
90,Lorengau,PG,-10.62,150.67,78.46,80,81,14.83,broken clouds
91,Sao Joao Da Barra,BR,-22.97,-42.03,71.17,87,0,22.35,clear sky
92,Saint George,US,37.1,-113.58,100.4,7,1,9.17,clear sky
93,Barrow,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
94,Bredasdorp,ZA,-33.92,25.57,50.0,87,0,4.7,clear sky
95,Wewak,PG,-10.62,150.67,78.46,80,81,14.83,broken clouds
96,Margate,ZA,-33.92,25.57,50.0,87,0,4.7,clear sky
97,Wufeng,CN,30.99,103.94,82.0,18,3,1.01,clear sky
98,Meadow Lake,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
99,Souillac,MU,-20.34,57.76,66.99,82,75,8.05,shower rain
100,Ibotirama,BR,-22.97,-42.03,71.17,87,0,22.35,clear sky
101,Vestmannaeyjar,IS,63.44,-20.27,42.8,70,20,18.34,few clouds
102,Afogados Da Ingazeira,BR,-22.97,-42.03,71.17,87,0,22.35,clear sky
103,Fortuna,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
104,Lima,PE,-13.7,-76.22,59.0,82,0,10.29,clear sky
105,Codrington,AU,-38.27,141.97,56.21,72,100,14.05,overcast clouds
106,Ribeira Grande,PT,33.07,-16.34,69.8,77,20,6.93,few clouds
107,Avarua,CK,-21.21,-159.78,80.6,78,93,11.41,overcast clouds
108,Necochea,AR,-38.0,-57.56,51.01,87,50,16.11,light rain
109,Padang,ID,-8.62,122.21,84.7,57,54,1.66,broken clouds
110,Valjevo,RS,44.28,19.9,57.2,100,0,4.7,clear sky
111,Jamestown,MY,5.41,100.34,80.6,83,40,5.82,scattered clouds
112,Broome,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
113,Barentsburg,SJ,78.22,15.64,42.8,93,75,6.93,broken clouds
114,Waipawa,NZ,-35.17,173.17,57.9,60,0,7.85,clear sky
115,Aguie,NE,13.51,7.78,80.78,65,83,8.52,broken clouds
116,Anadyr,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
117,Uusikaupunki,FI,60.8,21.41,59.0,93,75,6.93,light rain
118,Arona,ES,28.66,-17.92,73.4,73,90,6.93,overcast clouds
119,Ancud,CL,-53.15,-70.92,37.4,74,70,5.82,broken clouds
120,Kanker,IN,17.65,83.27,84.2,89,40,2.24,mist
121,Hamilton,US,37.1,-113.58,100.4,7,1,9.17,clear sky
122,Knysna,ZA,-33.92,25.57,50.0,87,0,4.7,clear sky
123,Cherskiy,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
124,Moen,NO,69.13,18.61,41.0,100,66,10.29,broken clouds
125,Praia,CV,14.92,-23.51,78.8,88,75,8.05,broken clouds
126,Paradwip,IN,17.65,83.27,84.2,89,40,2.24,mist
127,New Norfolk,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
128,Clyde River,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
129,Sioux Lookout,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
130,Belen,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
131,Atambua,ID,-8.62,122.21,84.7,57,54,1.66,broken clouds
132,Hithadhoo,MV,-0.6,73.08,82.02,76,44,12.77,light rain
133,Puerto Ayora,EC,-0.74,-90.35,66.0,91,89,5.01,overcast clouds
134,Khatanga,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
135,Banfora,BF,10.63,-4.77,72.21,96,87,5.82,light rain
136,Chuy,UY,-33.7,-53.46,45.14,92,10,1.92,clear sky
137,Carnarvon,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
138,Radnevo,BG,42.3,25.93,75.2,47,75,13.87,broken clouds
139,Sao Miguel Do Araguaia,BR,-22.97,-42.03,71.17,87,0,22.35,clear sky
140,Chardara,KZ,50.41,80.23,55.4,87,75,8.95,broken clouds
141,Norman Wells,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
142,Kavaratti,IN,17.65,83.27,84.2,89,40,2.24,mist
143,Alexandria,EG,31.22,29.96,78.8,83,0,8.05,clear sky
144,Nouadhibou,MR,20.52,-13.05,89.58,45,33,11.74,scattered clouds
145,Kachug,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
146,Atherton,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
147,Bethel,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
148,Namibe,AO,-15.2,12.15,61.99,75,68,4.21,broken clouds
149,Mahebourg,MU,-20.34,57.76,66.99,82,75,8.05,shower rain
150,Saskylakh,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
151,Hengshui,CN,30.99,103.94,82.0,18,3,1.01,clear sky
152,Tigre,AR,-34.43,-58.58,52.0,87,75,2.24,broken clouds
153,Tuatapere,NZ,-35.17,173.17,57.9,60,0,7.85,clear sky
154,Itaituba,BR,-22.97,-42.03,71.17,87,0,22.35,clear sky
155,Zhumadian,CN,30.99,103.94,82.0,18,3,1.01,clear sky
156,Saint-Francois,FR,46.42,3.91,51.8,87,0,2.75,clear sky
157,Xining,CN,30.99,103.94,82.0,18,3,1.01,clear sky
158,Lasa,CN,30.99,103.94,82.0,18,3,1.01,clear sky
159,San Patricio,MX,20.87,-90.4,82.54,79,41,15.68,light rain
160,Port Lincoln,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
161,Iqaluit,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
162,Gimli,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
163,Castro,CL,-53.15,-70.92,37.4,74,70,5.82,broken clouds
164,Yar-Sale,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
165,Cairo,EG,31.22,29.96,78.8,83,0,8.05,clear sky
166,Hervey Bay,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
167,Fairview,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
168,Ilulissat,GL,64.18,-51.72,48.2,81,100,20.8,light snow
169,Bengkulu,ID,-8.62,122.21,84.7,57,54,1.66,broken clouds
170,Along,IN,17.65,83.27,84.2,89,40,2.24,mist
171,Peace River,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
172,Marcona,PE,-13.7,-76.22,59.0,82,0,10.29,clear sky
173,Oranjestad,AW,12.52,-70.03,84.2,79,20,12.75,few clouds
174,Srednekolymsk,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
175,Shahrud,IR,36.42,54.98,65.01,26,0,3.38,clear sky
176,Geraldton,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
177,Blois,FR,47.58,1.33,53.01,100,0,1.72,fog
178,Elat,IL,29.56,34.95,89.6,55,0,9.17,clear sky
179,Kitimat,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
180,Spasskoye,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
181,Tautira,NZ,-46.19,168.86,58.33,57,100,5.48,overcast clouds
182,Darhan,MN,49.49,105.92,65.91,60,0,5.68,clear sky
183,Ayan,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
184,Jumla,NP,29.27,82.18,70.03,54,5,2.77,clear sky
185,Saint-Philippe,RE,-21.36,55.77,62.6,82,90,6.93,overcast clouds
186,George,ZA,-33.92,25.57,50.0,87,0,4.7,clear sky
187,Puerto Penasco,MX,20.87,-90.4,82.54,79,41,15.68,light rain
188,Opuwo,NA,-26.65,15.16,52.36,82,0,1.61,clear sky
189,Lompoc,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
190,Mantua,IT,45.17,10.78,62.01,89,0,3.13,clear sky
191,Nizhneyansk,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
192,Ishigaki,JP,24.34,124.16,82.4,94,75,3.36,broken clouds
193,Vyyezdnoye,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
194,Matara,LK,5.95,80.54,82.85,78,56,8.12,broken clouds
195,Sayyan,YE,15.17,44.32,58.51,44,0,7.58,clear sky
196,Angra,PT,33.07,-16.34,69.8,77,20,6.93,few clouds
197,Xiongzhou,CN,30.99,103.94,82.0,18,3,1.01,clear sky
198,Dingle,IE,52.16,-7.15,53.01,83,77,10.0,broken clouds
199,Bull Savanna,JM,17.89,-77.59,77.5,85,3,8.86,clear sky
200,Totma,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
201,Tumannyy,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
202,Petropavlovsk-Kamchatskiy,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
203,Shimanovsk,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
204,Kostalexis,GR,38.86,22.36,78.01,49,0,6.93,clear sky
205,Hearst,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
206,Nola,IT,40.92,14.53,71.01,75,0,3.0,clear sky
207,Sjenica,RS,44.28,19.9,57.2,100,0,4.7,clear sky
208,Mackay,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
209,Biak,ID,-8.62,122.21,84.7,57,54,1.66,broken clouds
